6.5, 7.2, 2
13, 14.4, 5
19.5, 21.7, 9
26, 28.9, 11
39, 43.3, 15
52, 57.8, 18
58.5, 65, 20
65, 72.2, 25
78, 86.7, 29
N/A, N/A, 31
